Phrase                      Stripped
Every rose has its thorn    Everyrosehasitsthorn
Fortune favors the bold     fortunefavorsthebold
Grass is always greener     grassisalwaysgreener
He who hesitates is lost    hewhohesitatesislost
History repeats itself      historyrepeatsitself
In the heat of the moment   intheheatofthemoment
Leave no stone unturned     leavenostoneunturned
Let the cat out of the bag  letthecatoutofthebag
Practice makes perfect      practicemakesperfect
Rome wasn't built in a day  romewasntbuiltinaday
The ball is in your court   theballisinyourcourt
To cut a long story short   tocutalongstoryshort
Virtue is its own reward    virtueisitsownreward
Wolf in sheep's clothing    wolfinsheepsclothing
Work smarter not harder     worksmarternotharder
Steven Donald Parker        Steven+Donald+Parker
Jamison Michael Parker      JamisonMichaelParker
James Robert O'Keane        James+Robert+O'Keane
